x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.480	2.418	-0.312	2.731	99999.000	-0.729	1.176	50.0	
1.0	1.0	2.475	2.188	-0.543	2.731	99999.000	-0.961	1.176	50.0	
1.0	2.0	2.477	2.278	-0.453	2.731	99999.000	-0.877	1.176	50.0	
1.0	3.0	2.475	2.188	-0.543	2.731	99999.000	-0.961	1.176	50.0	
1.0	4.0	2.474	2.108	-0.623	2.731	99999.000	-1.029	1.176	50.0	
1.0	5.0	2.473	2.048	-0.683	2.731	99999.000	-1.078	1.176	50.0	
1.0	6.0	2.470	1.927	-0.804	2.731	99999.000	-1.169	1.176	50.0	
1.0	7.0	2.467	1.787	-0.944	2.731	99999.000	-1.267	1.176	50.0	
1.0	8.0	2.468	1.807	-0.924	2.731	99999.000	-1.253	1.176	50.0	
1.0	9.0	2.468	1.827	-0.904	2.731	99999.000	-1.240	1.176	50.0	
1.0	10.0	2.466	1.707	-1.024	2.731	99999.000	-1.319	1.176	50.0	
1.0	11.0	2.466	1.717	-1.014	2.731	99999.000	-1.313	1.176	50.0	
1.0	12.0	2.462	1.506	-1.225	2.731	99999.000	-1.443	1.176	50.0	
1.0	13.0	2.465	1.677	-1.054	2.731	99999.000	-1.339	1.176	50.0	
1.0	14.0	2.456	1.216	-1.515	2.731	99999.000	-1.605	1.176	50.0	
1.0	15.0	2.439	0.344	-2.387	2.731	99999.000	-2.015	1.176	50.0	
1.0	16.0	2.403	-1.501	-4.232	2.731	99999.000	-2.682	1.176	50.0	
1.0	17.0	2.347	-4.377	-7.108	2.731	99999.000	-3.476	1.176	50.0	
1.0	18.0	2.259	-8.878	-11.609	2.731	99999.000	-4.442	1.176	50.0	
1.0	19.0	2.136	-15.183	-17.914	2.731	99999.000	-5.518	1.176	50.0	
1.0	20.0	1.980	-23.181	-25.912	2.731	99999.000	-6.637	1.176	50.0	
1.0	21.0	1.780	-33.475	-36.206	2.731	99999.000	-7.845	1.176	50.0	
1.0	22.0	1.555	-44.992	-47.723	2.731	99999.000	-9.007	1.176	50.0	
1.0	23.0	1.345	-55.737	-58.468	2.731	99999.000	-9.970	1.176	50.0	
1.0	24.0	1.213	-62.523	-65.254	2.731	99999.000	-10.532	1.176	50.0	
1.0	25.0	1.156	-65.450	-68.181	2.731	99999.000	-10.766	1.176	50.0	
1.0	26.0	1.175	-64.468	-67.199	2.731	99999.000	-10.688	1.176	50.0	
1.0	27.0	1.209	-62.724	-65.455	2.731	99999.000	-10.549	1.176	50.0	
1.0	28.0	1.256	-60.328	-63.059	2.731	99999.000	-10.354	1.176	50.0	
1.0	29.0	1.292	-58.484	-61.215	2.731	99999.000	-10.201	1.176	50.0	
1.0	30.0	1.326	-56.750	-59.481	2.731	99999.000	-10.056	1.176	50.0	
1.0	31.0	1.357	-55.136	-57.867	2.731	99999.000	-9.918	1.176	50.0	
1.0	32.0	1.408	-52.540	-55.271	2.731	99999.000	-9.693	1.176	50.0	
1.0	33.0	1.499	-47.879	-50.610	2.731	99999.000	-9.276	1.176	50.0	
1.0	34.0	1.645	-40.361	-43.092	2.731	99999.000	-8.559	1.176	50.0	
1.0	35.0	1.808	-32.042	-34.773	2.731	99999.000	-7.689	1.176	50.0	
1.0	36.0	1.961	-24.174	-26.904	2.731	99999.000	-6.763	1.176	50.0	
1.0	37.0	2.111	-16.496	-19.227	2.731	99999.000	-5.717	1.176	50.0	
1.0	38.0	2.226	-10.592	-13.323	2.731	99999.000	-4.759	1.176	50.0	
1.0	39.0	2.308	-6.402	-9.133	2.731	99999.000	-3.940	1.176	50.0	
1.0	40.0	2.376	-2.884	-5.615	2.731	99999.000	-3.090	1.176	50.0	
1.0	41.0	2.424	-0.448	-3.179	2.731	99999.000	-2.325	1.176	50.0	
1.0	42.0	2.444	0.574	-2.157	2.731	99999.000	-1.915	1.176	50.0	
1.0	43.0	2.448	0.775	-1.956	2.731	99999.000	-1.824	1.176	50.0	
1.0	44.0	2.450	0.915	-1.816	2.731	99999.000	-1.757	1.176	50.0	
1.0	45.0	2.455	1.135	-1.595	2.731	99999.000	-1.647	1.176	50.0	
1.0	46.0	2.453	1.025	-1.706	2.731	99999.000	-1.703	1.176	50.0	
1.0	47.0	2.454	1.115	-1.615	2.731	99999.000	-1.657	1.176	50.0	
1.0	48.0	2.452	0.995	-1.736	2.731	99999.000	-1.718	1.176	50.0	
1.0	49.0	2.455	1.145	-1.585	2.731	99999.000	-1.642	1.176	50.0	
1.0	50.0	2.460	1.416	-1.315	2.731	99999.000	-1.495	1.176	50.0	
1.0	51.0	2.457	1.226	-1.505	2.731	99999.000	-1.600	1.176	50.0	
1.0	52.0	2.452	0.985	-1.746	2.731	99999.000	-1.723	1.176	50.0	
