x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.468	1.827	-0.827	2.654	99999.000	-1.186	1.176	35.0	
3.0	1.0	2.469	1.847	-0.807	2.654	99999.000	-1.171	1.176	35.0	
3.0	2.0	2.470	1.917	-0.737	2.654	99999.000	-1.119	1.176	35.0	
3.0	3.0	2.472	1.997	-0.657	2.654	99999.000	-1.056	1.176	35.0	
3.0	4.0	2.470	1.937	-0.717	2.654	99999.000	-1.104	1.176	35.0	
3.0	5.0	2.468	1.837	-0.817	2.654	99999.000	-1.178	1.176	35.0	
3.0	6.0	2.470	1.927	-0.727	2.654	99999.000	-1.111	1.176	35.0	
3.0	7.0	2.470	1.917	-0.737	2.654	99999.000	-1.119	1.176	35.0	
3.0	8.0	2.472	2.028	-0.626	2.654	99999.000	-1.032	1.176	35.0	
3.0	9.0	2.474	2.098	-0.556	2.654	99999.000	-0.972	1.176	35.0	
3.0	10.0	2.474	2.138	-0.516	2.654	99999.000	-0.937	1.176	35.0	
3.0	11.0	2.473	2.058	-0.596	2.654	99999.000	-1.007	1.176	35.0	
3.0	12.0	2.475	2.158	-0.496	2.654	99999.000	-0.918	1.176	35.0	
3.0	13.0	2.477	2.288	-0.366	2.654	99999.000	-0.789	1.176	35.0	
3.0	14.0	2.482	2.519	-0.135	2.654	99999.000	-0.480	1.176	35.0	
3.0	15.0	2.483	2.589	-0.065	2.654	99999.000	-0.333	1.176	35.0	
3.0	16.0	2.485	2.689	0.035	2.654	99999.000	0.244	1.176	35.0	
3.0	17.0	2.497	3.290	0.636	2.654	99999.000	1.040	1.176	35.0	
3.0	18.0	2.508	3.862	1.208	2.654	99999.000	1.433	1.176	35.0	
3.0	19.0	2.520	4.483	1.829	2.654	99999.000	1.763	1.176	35.0	
3.0	20.0	2.526	4.764	2.110	2.654	99999.000	1.894	1.176	35.0	
3.0	21.0	2.532	5.095	2.441	2.654	99999.000	2.037	1.176	35.0	
3.0	22.0	2.544	5.716	3.062	2.654	99999.000	2.282	1.176	35.0	
3.0	23.0	2.556	6.338	3.684	2.654	99999.000	2.502	1.176	35.0	
3.0	24.0	2.583	7.711	5.057	2.654	99999.000	2.932	1.176	35.0	
3.0	25.0	2.600	8.603	5.949	2.654	99999.000	3.180	1.176	35.0	
3.0	26.0	2.606	8.873	6.220	2.654	99999.000	3.252	1.176	35.0	
3.0	27.0	2.621	9.665	7.011	2.654	99999.000	3.452	1.176	35.0	
3.0	28.0	2.653	11.299	8.645	2.654	99999.000	3.834	1.176	35.0	
3.0	29.0	2.674	12.372	9.718	2.654	99999.000	4.064	1.176	35.0	
3.0	30.0	2.696	13.494	10.840	2.654	99999.000	4.293	1.176	35.0	
3.0	31.0	2.722	14.817	12.163	2.654	99999.000	4.547	1.176	35.0	
3.0	32.0	2.740	15.760	13.106	2.654	99999.000	4.720	1.176	35.0	
3.0	33.0	2.750	16.261	13.607	2.654	99999.000	4.810	1.176	35.0	
3.0	34.0	2.759	16.712	14.058	2.654	99999.000	4.889	1.176	35.0	
3.0	35.0	2.760	16.772	14.118	2.654	99999.000	4.899	1.176	35.0	
3.0	36.0	2.751	16.301	13.647	2.654	99999.000	4.817	1.176	35.0	
3.0	37.0	2.750	16.251	13.597	2.654	99999.000	4.808	1.176	35.0	
3.0	38.0	2.730	15.258	12.604	2.654	99999.000	4.629	1.176	35.0	
3.0	39.0	2.713	14.376	11.722	2.654	99999.000	4.464	1.176	35.0	
3.0	40.0	2.695	13.434	10.780	2.654	99999.000	4.281	1.176	35.0	
3.0	41.0	2.674	12.392	9.738	2.654	99999.000	4.069	1.176	35.0	
3.0	42.0	2.655	11.419	8.765	2.654	99999.000	3.860	1.176	35.0	
3.0	43.0	2.633	10.267	7.613	2.654	99999.000	3.597	1.176	35.0	
3.0	44.0	2.615	9.365	6.711	2.654	99999.000	3.378	1.176	35.0	
3.0	45.0	2.595	8.332	5.678	2.654	99999.000	3.107	1.176	35.0	
3.0	46.0	2.577	7.420	4.766	2.654	99999.000	2.846	1.176	35.0	
3.0	47.0	2.561	6.588	3.934	2.654	99999.000	2.586	1.176	35.0	
3.0	48.0	2.549	5.947	3.293	2.654	99999.000	2.366	1.176	35.0	
3.0	49.0	2.540	5.486	2.832	2.654	99999.000	2.194	1.176	35.0	
3.0	50.0	2.522	4.583	1.930	2.654	99999.000	1.811	1.176	35.0	
3.0	51.0	2.513	4.102	1.448	2.654	99999.000	1.569	1.176	35.0	
3.0	52.0	2.517	4.313	1.659	2.654	99999.000	1.679	1.176	35.0	
